experiment,key,mean_read_ratio,mean_rel_l2,median_rel_l2,frac_pass_mod,mean_mass,mean_oracle_recall,mean_eff_bits,mean_storage_ratio
oracle_sparse,S=1,0.00778093402269988,1.0585449330999512,1.088673752527812,0.050595238095238096,0.47222017886472756,,,
oracle_sparse,S=2,0.01556186804539976,0.6777906934489917,0.6221572994009961,0.10246598639455783,0.5974377076135163,,,
oracle_sparse,S=4,0.03112373609079952,0.4155858325501309,0.3380049213473351,0.1717687074829932,0.7184054069853637,,,
oracle_sparse,S=8,0.06224747218159904,0.2412448210565,0.15102009362371144,0.3792517006802721,0.8250120827458465,,,
oracle_sparse,S=16,0.12449494436319808,0.13254627135977431,0.05342039175091108,0.6403061224489796,0.9002457805647599,,,
oracle_sparse,S=32,0.24898988872639616,0.0732046121888484,0.015282435729994714,0.79421768707483,0.9429966455618191,,,
oracle_sparse,S=64,0.10858817892016705,0.06184375029012017,0.013479625183286135,0.8166666666666667,0.9511319119603145,,,
oracle_sparse,S=128,0.2171763578403341,0.037403448138329284,0.004957624413607347,0.8767857142857143,0.970926923820654,,,
oracle_sparse,S=256,0.14542536665052475,0.02593119453167702,0.0038032226592381656,0.9263392857142857,0.9805092430523049,,,
routing,jl,0.15093383292583415,1.334408846462846,0.47268353976367755,0.2628072196620584,,0.39482151857718895,,
routing,block_centroid,0.22901857925491634,0.6976002757031026,0.2295833517778897,0.37653609831029183,,0.6657838601670507,,
routing,block_upperbound,0.22634451977477796,1.5457546343539315,0.48044717205736104,0.26401689708141324,,0.5367673531105991,,
routing,recency_router,0.15132194437898538,1.7830992514910087,0.7462034047343191,0.1541858678955453,,0.47537142377112135,,
routing,sink_recent_router,0.17428395831021679,0.30299723013713403,0.143892213906256,0.4368279569892473,,0.5389814948156681,,
residual,sparse_renorm,,0.13223802629563305,0.04590060623623826,,,,,
residual,cheap_block_residual,,0.08461624061662164,0.03321315450312305,,,,,
residual,oracle_mass_global,,0.10533641035531337,0.02831150929730517,,,,,
residual,oracle_mass_block,,0.07840916804879558,0.021512412372278245,,,,,
residual,lowrank_k8,,0.1098863449480053,0.029979199576170217,,,,,
quant,uniform_8bit,,0.021195602685105605,0.015533661234445093,,,,8.0,0.5
quant,uniform_4bit,,0.34803296518417753,0.24588827855022016,,,,4.0,0.25
quant,uniform_3bit,,1.0403239241829954,0.5805625710380181,,,,3.0,0.1875
quant,uniform_2bit,,2.7174358182503218,1.3914809200454643,,,,2.0,0.125
quant,adapt_imp_h8l4f10,,0.12938968287091424,0.030740038763181664,,,,4.3907716963784935,0.27442323102365584
quant,adapt_imp_h8l4f25,,0.09117257453470823,0.022051796394619683,,,,5.002045548963908,0.31262784681024425
quant,adapt_imp_h8l2f10,,1.5723800605915337,0.8560440760824899,,,,2.5861575445677416,0.16163484653548385
quant,adapt_imp_h8l2f25,,1.3142533730027408,0.6242055337479673,,,,3.5030683234458624,0.2189417702153664
quant,adapt_imp_h4l2f25,,1.4376702344723364,0.823886239929321,,,,2.501022774481954,0.15631392340512212
quant,adapt_margin_h8l4f10,,0.23910305807835017,0.12252661017629812,,,,4.3907716963784935,0.27442323102365584
quant,adapt_margin_h8l4f25,,0.18648094132066434,0.03918988169160527,,,,5.002045548963908,0.31262784681024425
quant,adapt_margin_h8l2f25,,1.5018241695973868,0.8900702102632032,,,,3.5030683234458624,0.2189417702153664
quant,recent64_r8o2,,1.3669865262265866,0.6977213476909359,,,,4.179663623943573,0.2612289764964733
quant,recent128_r8o2,,1.3241652065512686,0.6263270256958813,,,,4.645041533601432,0.2903150958500895
quant,recent64_r8o4,,0.15401437711488464,0.07112708758886108,,,,5.453109082629049,0.34081931766431556
quant,recent128_r8o4,,0.14997245403785028,0.06901206412048949,,,,5.763361022400955,0.36021006390005966
quant,routed_r8bg2,,1.326614797686523,0.6067575937383904,,,,3.4939393323583765,0.21837120827239853
quant,routed_r8bg4,,0.09264894970246787,0.02395450676252912,,,,4.995959554905585,0.31224747218159904
quant,routed_r16bg2,,1.2993003774602383,0.5572709258190863,,,,5.485858442169547,0.34286615263559667
