regime,mode,hit_rate,reusable_fraction,ttft_savings,n,exact_hit,lift_over_exact
coding,exact,0.0,0.9953167801218401,1.0,120,0.0,0.0
coding,normalized,0.10833333333333334,0.9953167801218401,1.116780889158595,120,0.0,0.10833333333333334
coding,canonical,0.975,0.9953167801218401,17.035432895423362,120,0.0,0.975
coding,canonical_versioned,0.975,0.9953167801218401,17.035432895423362,120,0.0,0.975
legal,exact,0.0,0.9967219372444579,1.0,120,0.0,0.0
legal,normalized,0.25,0.9967219372444579,1.3186756414543197,120,0.0,0.25
legal,canonical,0.975,0.9967219372444579,17.432483722467914,120,0.0,0.975
legal,canonical_versioned,0.975,0.9967219372444579,17.432483722467914,120,0.0,0.975
research,exact,0.0,0.9960166699441885,1.0,120,0.0,0.0
research,normalized,0.125,0.9960166699441885,1.1373239185387,120,0.0,0.125
research,canonical,0.9583333333333334,0.9960166699441885,13.482784828525766,120,0.0,0.9583333333333334
research,canonical_versioned,0.9583333333333334,0.9960166699441885,13.482784828525766,120,0.0,0.9583333333333334
multitool,exact,0.0,0.9955764811661434,1.0,120,0.0,0.0
multitool,normalized,0.0,0.9955764811661434,1.0,120,0.0,0.0
multitool,canonical,0.975,0.9955764811661434,17.10923294754899,120,0.0,0.975
multitool,canonical_versioned,0.975,0.9955764811661434,17.10923294754899,120,0.0,0.975
memory,exact,0.0,0.9963983370473806,1.0,120,0.0,0.0
memory,normalized,0.14166666666666666,0.9963983370473806,1.1586162651886547,120,0.0,0.14166666666666666
memory,canonical,0.975,0.9963983370473806,17.34058629581095,120,0.0,0.975
memory,canonical_versioned,0.975,0.9963983370473806,17.34058629581095,120,0.0,0.975
