regime,kind,mutation,expected,actual,correct
coding,should_hit,ALL,equal,equal,True
coding,should_hit,volatile_id,equal,equal,True
coding,should_hit,tool_order,equal,equal,True
coding,should_hit,json_field_order,equal,equal,True
coding,should_hit,whitespace,equal,equal,True
coding,should_hit,doc_metadata,equal,equal,True
coding,should_miss,tool_semantic_change,differ,differ,True
coding,should_miss,tool_param_type,differ,differ,True
coding,should_miss,doc_content_change,differ,differ,True
coding,should_miss,memory_version_bump,differ,differ,True
coding,should_miss,system_policy_change,differ,differ,True
coding,should_miss,doc_replaced,differ,differ,True
coding,should_miss,model_changed,differ,differ,True
coding,should_miss,tokenizer_changed,differ,differ,True
coding,should_hit,ALL,equal,equal,True
coding,should_hit,volatile_id,equal,equal,True
coding,should_hit,tool_order,equal,equal,True
coding,should_hit,json_field_order,equal,equal,True
coding,should_hit,whitespace,equal,equal,True
coding,should_hit,doc_metadata,equal,equal,True
coding,should_miss,tool_semantic_change,differ,differ,True
coding,should_miss,tool_param_type,differ,differ,True
coding,should_miss,doc_content_change,differ,differ,True
coding,should_miss,memory_version_bump,differ,differ,True
coding,should_miss,system_policy_change,differ,differ,True
coding,should_miss,doc_replaced,differ,differ,True
coding,should_miss,model_changed,differ,differ,True
coding,should_miss,tokenizer_changed,differ,differ,True
coding,should_hit,ALL,equal,equal,True
coding,should_hit,volatile_id,equal,equal,True
coding,should_hit,tool_order,equal,equal,True
coding,should_hit,json_field_order,equal,equal,True
coding,should_hit,whitespace,equal,equal,True
coding,should_hit,doc_metadata,equal,equal,True
coding,should_miss,tool_semantic_change,differ,differ,True
coding,should_miss,tool_param_type,differ,differ,True
coding,should_miss,doc_content_change,differ,differ,True
coding,should_miss,memory_version_bump,differ,differ,True
coding,should_miss,system_policy_change,differ,differ,True
coding,should_miss,doc_replaced,differ,differ,True
coding,should_miss,model_changed,differ,differ,True
coding,should_miss,tokenizer_changed,differ,differ,True
coding,should_hit,ALL,equal,equal,True
coding,should_hit,volatile_id,equal,equal,True
coding,should_hit,tool_order,equal,equal,True
coding,should_hit,json_field_order,equal,equal,True
coding,should_hit,whitespace,equal,equal,True
coding,should_hit,doc_metadata,equal,equal,True
coding,should_miss,tool_semantic_change,differ,differ,True
coding,should_miss,tool_param_type,differ,differ,True
coding,should_miss,doc_content_change,differ,differ,True
coding,should_miss,memory_version_bump,differ,differ,True
coding,should_miss,system_policy_change,differ,differ,True
coding,should_miss,doc_replaced,differ,differ,True
coding,should_miss,model_changed,differ,differ,True
coding,should_miss,tokenizer_changed,differ,differ,True
coding,should_hit,ALL,equal,equal,True
coding,should_hit,volatile_id,equal,equal,True
coding,should_hit,tool_order,equal,equal,True
coding,should_hit,json_field_order,equal,equal,True
coding,should_hit,whitespace,equal,equal,True
coding,should_hit,doc_metadata,equal,equal,True
coding,should_miss,tool_semantic_change,differ,differ,True
coding,should_miss,tool_param_type,differ,differ,True
coding,should_miss,doc_content_change,differ,differ,True
coding,should_miss,memory_version_bump,differ,differ,True
coding,should_miss,system_policy_change,differ,differ,True
coding,should_miss,doc_replaced,differ,differ,True
