segment,budget,base_rate,cov_at_95prec
all,0.0025,0.3924107142857143,0.07544642857142857
all,0.005,0.49657738095238096,0.25744047619047616
all,0.01,0.5822916666666667,0.3706845238095238
all,0.02,0.6755952380952381,0.4982142857142857
all,0.05,0.7919642857142857,0.684970238095238
all,0.1,0.8827380952380952,0.8388392857142857
all,0.15,0.9325892857142857,0.9546130952380952
long_ctx,0.0025,0.41982886904761907,0.14304315476190477
long_ctx,0.005,0.5132068452380952,0.2609747023809524
long_ctx,0.01,0.5959821428571429,0.34077380952380953
long_ctx,0.02,0.6865699404761905,0.49776785714285715
long_ctx,0.05,0.8046875,0.6821056547619048
long_ctx,0.1,0.8924851190476191,0.8625372023809523
long_ctx,0.15,0.9417782738095238,0.9771205357142857
