segment,budget,frac
0.5B@8192,0.0025,0.010416666666666666
0.5B@8192,0.005,0.17485119047619047
0.5B@8192,0.01,0.058779761904761904
0.5B@8192,0.02,0.028273809523809524
0.5B@8192,0.05,0.13467261904761904
0.5B@8192,0.1,0.17782738095238096
0.5B@8192,0.15,0.13616071428571427
0.5B@8192,full,0.27901785714285715
0.5B@16384,0.0025,0.005208333333333333
0.5B@16384,0.005,0.015625
0.5B@16384,0.01,0.32663690476190477
0.5B@16384,0.02,0.11681547619047619
0.5B@16384,0.05,0.14955357142857142
0.5B@16384,0.1,0.10863095238095238
0.5B@16384,0.15,0.20386904761904762
0.5B@16384,full,0.07366071428571429
0.5B@32768,0.0025,0.03273809523809524
0.5B@32768,0.005,0.07142857142857142
0.5B@32768,0.01,0.078125
0.5B@32768,0.02,0.09821428571428571
0.5B@32768,0.05,0.08556547619047619
0.5B@32768,0.1,0.265625
0.5B@32768,0.15,0.008928571428571428
0.5B@32768,full,0.359375
1.5B@8192,0.0025,0.010416666666666666
1.5B@8192,0.005,0.06845238095238096
1.5B@8192,0.01,0.031994047619047616
1.5B@8192,0.02,0.14732142857142858
1.5B@8192,0.05,0.05654761904761905
1.5B@8192,0.1,0.23883928571428573
1.5B@8192,0.15,0.21949404761904762
1.5B@8192,full,0.2269345238095238
LONG_ALL(>=8k),0.0025,0.05896577380952381
LONG_ALL(>=8k),0.005,0.029389880952380952
LONG_ALL(>=8k),0.01,0.09468005952380952
LONG_ALL(>=8k),0.02,0.08984375
LONG_ALL(>=8k),0.05,0.078125
LONG_ALL(>=8k),0.1,0.20442708333333334
LONG_ALL(>=8k),0.15,0.16871279761904762
LONG_ALL(>=8k),full,0.27585565476190477
