segment,policy,n,coverage,fail_rate_routed,fail_rate_overall,kv_read_reduction,mean_budget_routed,precision_target
0.5B@4096,full_only,1344,0.0,0.0,0.0,1.0,,
0.5B@4096,fixed_10pct,1344,0.7619047619047619,0.0498046875,0.03794642857142857,3.181818181818181,0.10000000000000002,
0.5B@4096,adaptive_budget,1344,0.7418154761904762,0.048144433299899696,0.03571428571428571,3.2980381090266624,0.06069709127382148,0.98
0.5B@4096,adaptive_uncapped,1344,0.8563988095238095,0.13379669852302345,0.11458333333333333,5.430632159524819,0.047337098175499574,0.95
0.5B@8192,full_only,1344,0.0,0.0,0.0,1.0,,
0.5B@8192,fixed_10pct,1344,0.8303571428571429,0.0492831541218638,0.04092261904761905,3.9575971731448765,0.09999999999999998,
0.5B@8192,adaptive_budget,1344,0.7209821428571429,0.02476780185758514,0.017857142857142856,3.0673726492605446,0.06518059855521156,0.99
0.5B@8192,adaptive_uncapped,1344,0.9285714285714286,0.14022435897435898,0.13020833333333334,8.59637340496978,0.04835336538461539,0.95
0.5B@16384,full_only,1344,0.0,0.0,0.0,1.0,,
0.5B@16384,fixed_10pct,1344,0.9136904761904762,0.0496742671009772,0.04538690476190476,5.628140703517587,0.09999999999999999,
0.5B@16384,adaptive_budget,1344,0.9263392857142857,0.046586345381526104,0.043154761904761904,7.795710619045546,0.058957831325301205,0.98
0.5B@16384,adaptive_uncapped,1344,1.0,0.13616071428571427,0.13616071428571427,23.605866338807413,0.04236235119047619,0.95
0.5B@32768,full_only,1344,0.0,0.0,0.0,1.0,,
0.5B@32768,fixed_10pct,1344,0.9345238095238095,0.04936305732484077,0.046130952380952384,6.292134831460674,0.09999999999999998,
0.5B@32768,adaptive_budget,1344,0.640625,0.018583042973286876,0.011904761904761904,2.533315740862911,0.05520325203252033,0.99
0.5B@32768,adaptive_uncapped,1344,0.9970238095238095,0.13805970149253732,0.13764880952380953,24.55579408943498,0.03786007462686568,0.95
1.5B@8192,full_only,1344,0.0,0.0,0.0,1.0,,
1.5B@8192,fixed_10pct,1344,0.7641369047619048,0.04965920155793573,0.03794642857142857,3.2022873481057896,0.10000000000000002,
1.5B@8192,adaptive_budget,1344,0.7730654761904762,0.04042348411934552,0.03125,3.4458446036894124,0.08184311838306063,0.98
1.5B@8192,adaptive_uncapped,1344,0.9635416666666666,0.11737451737451737,0.1130952380952381,9.916623625765514,0.06681853281853282,0.95
LONG_ALL(>=8k),full_only,5376,0.0,0.0,0.0,1.0,,
LONG_ALL(>=8k),fixed_10pct,5376,0.8625372023809523,0.04981669182661203,0.04296875,4.469942629084558,0.09999999999999999,
LONG_ALL(>=8k),adaptive_budget,5376,0.7241443452380952,0.024145902902645774,0.017485119047619048,3.043680724912351,0.07276714615977396,0.99
LONG_ALL(>=8k),adaptive_uncapped,5376,0.9774925595238095,0.13453853472882968,0.13151041666666666,13.972437184460343,0.05019172216936251,0.95
