component_fraction,component_reduction,end_to_end_speedup,reaches_10x,reaches_100x
0.3,2,1.176,False,False
0.3,4,1.29,False,False
0.3,8,1.356,False,False
0.3,16,1.391,False,False
0.3,32,1.41,False,False
0.3,64,1.419,False,False
0.3,128,1.424,False,False
0.5,2,1.333,False,False
0.5,4,1.6,False,False
0.5,8,1.778,False,False
0.5,16,1.882,False,False
0.5,32,1.939,False,False
0.5,64,1.969,False,False
0.5,128,1.984,False,False
0.7,2,1.538,False,False
0.7,4,2.105,False,False
0.7,8,2.581,False,False
0.7,16,2.909,False,False
0.7,32,3.107,False,False
0.7,64,3.216,False,False
0.7,128,3.274,False,False
0.9,2,1.818,False,False
0.9,4,3.077,False,False
0.9,8,4.706,False,False
0.9,16,6.4,False,False
0.9,32,7.805,False,False
0.9,64,8.767,False,False
0.9,128,9.343,False,False
0.95,2,1.905,False,False
0.95,4,3.478,False,False
0.95,8,5.926,False,False
0.95,16,9.143,False,False
0.95,32,12.549,True,False
0.95,64,15.422,True,False
0.95,128,17.415,True,False
0.98,2,1.961,False,False
0.98,4,3.774,False,False
0.98,8,7.018,False,False
0.98,16,12.308,True,False
0.98,32,19.753,True,False
0.98,64,28.319,True,False
0.98,128,36.158,True,False
0.99,2,1.98,False,False
0.99,4,3.883,False,False
0.99,8,7.477,False,False
0.99,16,13.913,True,False
0.99,32,24.427,True,False
0.99,64,39.264,True,False
0.99,128,56.388,True,False
