model,ctx,regime,layer,mean_blocks_per_head,shared_union_blocks,read_amplification
1.5B,8192,longdoc,0,5.0,17,3.39999999932
1.5B,8192,longdoc,1,5.0,11,2.19999999956
1.5B,8192,longdoc,2,5.0,18,3.59999999928
1.5B,8192,longdoc,3,5.0,17,3.39999999932
1.5B,8192,longdoc,4,5.0,20,3.9999999992
1.5B,8192,longdoc,5,5.0,15,2.9999999994
1.5B,8192,longdoc,6,5.0,22,4.39999999912
1.5B,8192,longdoc,7,5.0,17,3.39999999932
1.5B,8192,longdoc,8,5.0,13,2.59999999948
1.5B,8192,longdoc,9,5.0,24,4.79999999904
1.5B,8192,longdoc,10,5.0,20,3.9999999992
1.5B,8192,longdoc,11,5.0,12,2.39999999952
1.5B,8192,longdoc,12,5.0,21,4.19999999916
1.5B,8192,longdoc,13,5.0,12,2.39999999952
1.5B,8192,longdoc,14,5.0,19,3.7999999992399998
1.5B,8192,longdoc,15,5.0,13,2.59999999948
1.5B,8192,longdoc,16,5.0,17,3.39999999932
1.5B,8192,longdoc,17,5.0,12,2.39999999952
1.5B,8192,longdoc,18,5.0,8,1.59999999968
1.5B,8192,longdoc,19,5.0,15,2.9999999994
1.5B,8192,longdoc,20,5.0,16,3.19999999936
1.5B,8192,longdoc,21,5.0,15,2.9999999994
1.5B,8192,longdoc,22,5.0,19,3.7999999992399998
1.5B,8192,longdoc,23,5.0,14,2.7999999994399998
1.5B,8192,longdoc,24,5.0,11,2.19999999956
1.5B,8192,longdoc,25,5.0,11,2.19999999956
1.5B,8192,longdoc,26,5.0,10,1.9999999996
1.5B,8192,longdoc,27,5.0,8,1.59999999968
1.5B,8192,needle,0,5.0,19,3.7999999992399998
1.5B,8192,needle,1,5.0,13,2.59999999948
1.5B,8192,needle,2,5.0,19,3.7999999992399998
1.5B,8192,needle,3,5.0,18,3.59999999928
1.5B,8192,needle,4,5.0,13,2.59999999948
1.5B,8192,needle,5,5.0,13,2.59999999948
1.5B,8192,needle,6,5.0,17,3.39999999932
1.5B,8192,needle,7,5.0,18,3.59999999928
1.5B,8192,needle,8,5.0,14,2.7999999994399998
1.5B,8192,needle,9,5.0,20,3.9999999992
1.5B,8192,needle,10,5.0,14,2.7999999994399998
1.5B,8192,needle,11,5.0,15,2.9999999994
1.5B,8192,needle,12,5.0,20,3.9999999992
1.5B,8192,needle,13,5.0,15,2.9999999994
1.5B,8192,needle,14,5.0,19,3.7999999992399998
1.5B,8192,needle,15,5.0,16,3.19999999936
1.5B,8192,needle,16,5.0,19,3.7999999992399998
1.5B,8192,needle,17,5.0,16,3.19999999936
1.5B,8192,needle,18,5.0,15,2.9999999994
1.5B,8192,needle,19,5.0,21,4.19999999916
1.5B,8192,needle,20,5.0,14,2.7999999994399998
1.5B,8192,needle,21,5.0,16,3.19999999936
1.5B,8192,needle,22,5.0,23,4.59999999908
1.5B,8192,needle,23,5.0,21,4.19999999916
1.5B,8192,needle,24,5.0,12,2.39999999952
1.5B,8192,needle,25,5.0,13,2.59999999948
1.5B,8192,needle,26,5.0,13,2.59999999948
1.5B,8192,needle,27,5.0,11,2.19999999956
1.5B,8192,lenshift,0,3.0,8,2.6666666657777776
1.5B,8192,lenshift,1,3.0,11,3.666666665444444
1.5B,8192,lenshift,2,3.0,8,2.6666666657777776
1.5B,8192,lenshift,3,3.0,7,2.3333333325555556
1.5B,8192,lenshift,4,3.0,6,1.9999999993333333
1.5B,8192,lenshift,5,3.0,7,2.3333333325555556
1.5B,8192,lenshift,6,3.0,10,3.3333333322222223
1.5B,8192,lenshift,7,3.0,3,0.9999999996666666
1.5B,8192,lenshift,8,3.0,10,3.3333333322222223
1.5B,8192,lenshift,9,3.0,10,3.3333333322222223
1.5B,8192,lenshift,10,3.0,3,0.9999999996666666
1.5B,8192,lenshift,11,3.0,5,1.6666666661111111
1.5B,8192,lenshift,12,3.0,3,0.9999999996666666
1.5B,8192,lenshift,13,3.0,7,2.3333333325555556
1.5B,8192,lenshift,14,3.0,8,2.6666666657777776
1.5B,8192,lenshift,15,3.0,8,2.6666666657777776
1.5B,8192,lenshift,16,3.0,4,1.3333333328888888
1.5B,8192,lenshift,17,3.0,8,2.6666666657777776
1.5B,8192,lenshift,18,3.0,3,0.9999999996666666
1.5B,8192,lenshift,19,3.0,5,1.6666666661111111
1.5B,8192,lenshift,20,3.0,5,1.6666666661111111
1.5B,8192,lenshift,21,3.0,4,1.3333333328888888
1.5B,8192,lenshift,22,3.0,6,1.9999999993333333
1.5B,8192,lenshift,23,3.0,6,1.9999999993333333
1.5B,8192,lenshift,24,3.0,6,1.9999999993333333
1.5B,8192,lenshift,25,3.0,5,1.6666666661111111
1.5B,8192,lenshift,26,3.0,7,2.3333333325555556
1.5B,8192,lenshift,27,3.0,6,1.9999999993333333
1.5B,8192,agent,0,5.0,19,3.7999999992399998
1.5B,8192,agent,1,5.0,13,2.59999999948
1.5B,8192,agent,2,5.0,19,3.7999999992399998
1.5B,8192,agent,3,5.0,14,2.7999999994399998
1.5B,8192,agent,4,5.0,18,3.59999999928
1.5B,8192,agent,5,5.0,24,4.79999999904
1.5B,8192,agent,6,5.0,22,4.39999999912
1.5B,8192,agent,7,5.0,17,3.39999999932
1.5B,8192,agent,8,5.0,23,4.59999999908
1.5B,8192,agent,9,5.0,21,4.19999999916
1.5B,8192,agent,10,5.0,23,4.59999999908
1.5B,8192,agent,11,5.0,22,4.39999999912
1.5B,8192,agent,12,5.0,22,4.39999999912
1.5B,8192,agent,13,5.0,19,3.7999999992399998
1.5B,8192,agent,14,5.0,24,4.79999999904
1.5B,8192,agent,15,5.0,20,3.9999999992
1.5B,8192,agent,16,5.0,21,4.19999999916
1.5B,8192,agent,17,5.0,18,3.59999999928
1.5B,8192,agent,18,5.0,21,4.19999999916
1.5B,8192,agent,19,5.0,20,3.9999999992
1.5B,8192,agent,20,5.0,13,2.59999999948
1.5B,8192,agent,21,5.0,16,3.19999999936
1.5B,8192,agent,22,5.0,16,3.19999999936
1.5B,8192,agent,23,5.0,18,3.59999999928
1.5B,8192,agent,24,5.0,11,2.19999999956
1.5B,8192,agent,25,5.0,11,2.19999999956
1.5B,8192,agent,26,5.0,12,2.39999999952
1.5B,8192,agent,27,5.0,11,2.19999999956
