n_train,cov_at_95prec,auc,kv_read_reduction,fail_rate_routed,split,target_n,frac_of_full_cov,full_cov
50,0.08035714285714286,0.7224841085662396,1.077809477790369,0.04938271604938271,heldout_regime,50,0.21315789473684213,0.376984126984127
100,0.040674603174603176,0.7965270911108869,1.037929675244753,0.04878048780487805,heldout_regime,100,0.10789473684210527,0.376984126984127
250,0.1984126984126984,0.8424175158914339,1.2169244830727757,0.05,heldout_regime,250,0.5263157894736842,0.376984126984127
500,0.37202380952380953,0.8881081626475633,1.5020130434007575,0.048,heldout_regime,500,0.986842105263158,0.376984126984127
1000,0.3680555555555556,0.9041247099182728,1.4940158210293548,0.04851752021563342,heldout_regime,1000,0.9763157894736842,0.376984126984127
2000,0.35912698412698413,0.9026515992331753,1.4763268468799622,0.049723756906077346,heldout_regime,2000,0.9526315789473685,0.376984126984127
3024,0.376984126984127,0.9149591363131874,1.5121410248709717,0.05,heldout_regime,3024,1.0,0.376984126984127
50,0.020833333333333332,0.7708621828330386,1.0190308984784826,0.047619047619047616,heldout_layer,50,0.049763033175355444,0.41865079365079366
100,0.20833333333333334,0.762928481646392,1.2301932972824277,0.047619047619047616,heldout_layer,100,0.49763033175355453,0.41865079365079366
250,0.2648809523809524,0.7998295660325103,1.3120121349030889,0.04868913857677903,heldout_layer,250,0.6327014218009479,0.41865079365079366
500,0.34424603174603174,0.831340676196766,1.4472153122963543,0.04899135446685879,heldout_layer,500,0.8222748815165877,0.41865079365079366
1000,0.3621031746031746,0.8740769935448134,1.4816992234535136,0.049315068493150684,heldout_layer,1000,0.8649289099526066,0.41865079365079366
2000,0.3898809523809524,0.8711433988793967,1.5384230285623781,0.04834605597964377,heldout_layer,2000,0.9312796208530806,0.41865079365079366
3024,0.41865079365079366,0.8917957348899636,1.6020540521758662,0.04976303317535545,heldout_layer,3024,1.0,0.41865079365079366
50,0.2123015873015873,0.7912849568606211,1.2354330505636293,0.04672897196261682,heldout_head,50,0.5501285347043702,0.38591269841269843
100,0.07936507936507936,0.8157108582599534,1.0788086178955123,0.07317073170731707,heldout_head,100,0.2056555269922879,0.38591269841269843
250,0.1259920634920635,0.8207822212442929,1.1275028842888826,0.047244094488188976,heldout_head,250,0.326478149100257,0.38591269841269843
500,0.3373015873015873,0.8586196245033364,1.43430523790155,0.05,heldout_head,500,0.8740359897172236,0.38591269841269843
1000,0.3492063492063492,0.8814460472142412,1.4565958839800024,0.048295454545454544,heldout_head,1000,0.9048843187660668,0.38591269841269843
2000,0.37996031746031744,0.8902114443123299,1.5175721394662716,0.04960835509138381,heldout_head,2000,0.9845758354755784,0.38591269841269843
3024,0.38591269841269843,0.9018499790544459,1.5298548081112002,0.04884318766066838,heldout_head,3024,1.0,0.38591269841269843
50,0.009983361064891847,0.7828605905084849,1.2296445536537022,0.076,random,50,0.022556390977443608,0.4425956738768719
100,0.2878535773710483,0.8142158884357482,1.348501739771628,0.049132947976878616,random,100,0.6503759398496242,0.4425956738768719
250,0.23710482529118138,0.8268982266416166,1.2703334497510124,0.04912280701754386,random,250,0.5357142857142857,0.4425956738768719
500,0.28618968386023297,0.8466190105240649,1.3457925452759607,0.04941860465116279,random,500,0.6466165413533835,0.4425956738768719
1000,0.46921797004991683,0.8838992500267303,1.72767559411693,0.04964539007092199,random,1000,1.0601503759398496,0.4425956738768719
2000,0.44342762063227953,0.8969741404328767,1.6612869974337325,0.04878048780487805,random,2000,1.0018796992481203,0.4425956738768719
2830,0.4425956738768719,0.9031388901617561,1.6591629925980451,0.04887218045112782,random,2830,1.0,0.4425956738768719
