n,strategy,cov_at_95prec,frac_of_full,kv_read_reduction,fail_rate_routed,auc
25,active_diversity,0.0,0.0,1.0,0.0,0.6882285675848384
25,active_uncertainty,0.004298941798941799,0.011403508771929825,1.2518502315118891,0.14389503361526784,0.6447388423637036
25,random,0.0036375661375661374,0.009649122807017544,1.1324216026321992,0.05642633228840125,0.7127575421249116
50,active_diversity,0.07275132275132275,0.19298245614035084,1.0780924452439862,0.030303030303030304,0.7380701577371944
50,active_uncertainty,0.023809523809523808,0.06315789473684211,1.0228158017922093,0.014084507042253521,0.6472666733931995
50,random,0.03207671957671957,0.08508771929824561,1.0311575194411595,0.014814814814814815,0.781349342481418
100,active_diversity,0.19047619047619047,0.5052631578947369,1.211406430779325,0.04855664735719779,0.8222211011334207
100,active_uncertainty,0.05158730158730159,0.1368421052631579,1.0525671511758288,0.04090820121354472,0.767112635791881
100,random,0.11904761904761905,0.31578947368421056,1.14231643262426,0.03284789644012945,0.8220314129082165
250,active_diversity,0.12037037037037036,0.31929824561403514,1.129665118749849,0.033057601738920424,0.833390508862207
250,active_uncertainty,0.1888227513227513,0.5008771929824561,1.2266170510675283,0.03303284398895408,0.8605354320115697
250,random,0.310515873015873,0.8236842105263159,1.3869560853488734,0.04897692869819397,0.8589849661991726
500,active_diversity,0.3247354497354497,0.8614035087719297,1.4127464713855566,0.04890160576825634,0.8825695355329096
500,active_uncertainty,0.23544973544973546,0.624561403508772,1.2771519307770973,0.049104452279055445,0.8803585241987019
500,random,0.3578042328042328,0.9491228070175438,1.4754855400557219,0.04899344306686524,0.8934698819493493
1000,active_diversity,0.3703703703703704,0.9824561403508772,1.500145994443562,0.04915017813159891,0.8986358591464031
1000,active_uncertainty,0.3531746031746032,0.936842105263158,1.4658283041016145,0.04870333049247172,0.9099492146772947
1000,random,0.3458994708994709,0.9175438596491228,1.452457113567893,0.04872598962898043,0.8920828708842027
