features,feature,importance
cheap,log_T,0.175111386277219
cheap,cent_recent_frac,0.12506110147266025
cheap,q_norm,0.09904576587490639
cheap,cent_margin12,0.09123868342122081
cheap,k_norm_mean,0.07556212308146004
cheap,v_norm_std,0.06831091739061333
cheap,value_spectral,0.06583535480110164
cheap,cent_top1,0.06411732265508216
cheap,k_norm_std,0.043967274909743274
cheap,cent_entropy,0.0383350526439732
cheap,v_norm_max,0.033999018357690036
cheap,qk_align_max,0.033950496147191825
cheap,v_norm_mean,0.03147861576889606
cheap,k_norm_max,0.029007320583862323
cheap,cent_top_block_mass,0.02497956661437956
all,gini,0.2919563747603128
all,log_T,0.10643980777627104
all,cent_recent_frac,0.0910169288809879
all,mass_top8,0.060005355250905994
all,mass_top16,0.05896174196998032
all,mass_top32,0.0540117071966079
all,k_norm_mean,0.03828312567287057
all,entropy,0.03596239560341155
all,v_norm_std,0.029843178968989036
all,value_spectral,0.029113906368686458
all,cent_margin12,0.028863808361753205
all,k_norm_std,0.027528434086597157
all,recent_mass,0.021324239311711356
all,sink_mass,0.01980742863255454
all,q_norm,0.019069699316651034
all,cent_top1,0.014786021704676739
all,cent_entropy,0.014035329241393925
all,v_norm_mean,0.01091059479167747
all,v_norm_max,0.010768068941517928
all,k_norm_max,0.0096886936864372
all,qk_align_max,0.00917799134993024
all,cent_top_block_mass,0.007905474505107559
all,margin_top16,0.0053629891204198055
all,margin_top8,0.005176704500548218
