label,features,base_rate,auc,cov_at_95prec,realized_prec
router10_t10,cheap,0.49829931972789115,0.9540727859084861,0.39880952380952384,0.9509594882729211
router10_t10,all,0.49829931972789115,0.9805829525076647,0.4710884353741497,0.9503610108303249
router10_t05,cheap,0.4179421768707483,0.9651080791274902,0.3486394557823129,0.95
router10_t05,all,0.4179421768707483,0.9865964642159963,0.3937074829931973,0.9503239740820735
router10_t20,cheap,0.6041666666666666,0.9457375972352717,0.5072278911564626,0.950544844928751
router10_t20,all,0.6041666666666666,0.971286540468997,0.5425170068027211,0.950626959247649
router15_t10,cheap,0.5667517006802721,0.9509153539611596,0.4846938775510204,0.95
router15_t10,all,0.5667517006802721,0.9807822416840717,0.5365646258503401,0.9500792393026941
oracle10_t10,cheap,0.6777210884353742,0.9475879204007112,0.5977891156462585,0.9502133712660028
oracle10_t10,all,0.6777210884353742,0.987724415105458,0.6913265306122449,0.9501845018450185
