layer,median_rel_l2_s16
0,0.0933559698512008
1,0.2056096434493451
2,0.1911826856496729
3,0.06591230456905915
4,0.049794900283531396
5,0.05567781897357645
6,0.1033498540339346
7,0.008938368360113951
8,0.02596612421371105
9,0.02001275339384765
10,0.06755576071774495
11,0.0435392365785152
12,0.07050049008674844
13,0.05011723715588505
14,0.09459263355037459
15,0.14141693338366718
16,0.0388469979575629
17,0.0458697047244776
18,0.1045792382813821
19,0.04485558591234625
20,0.0618854673583842
21,0.0633383899968708
22,0.5537623946628238
23,0.44272187221570136
