dc,native_elems,latent_elems,bytes_ratio,rl2_latent,logit_spearman,rl2_sparse_orig,rl2_sparse_latent,sparse_support,regime,layer,T
64,1536,64,0.041666666666666664,0.0038015202072256217,0.9999556205743507,0.5113847080837682,0.5089324370519762,1.0,doc,0,1024
64,1536,64,0.041666666666666664,0.013829628865991732,0.9999936632751589,0.0018070030905127379,0.013878857325425471,1.0,doc,0,1024
64,1536,64,0.041666666666666664,0.006092892182119695,0.9999838284993918,0.5694254672283687,0.567567753354955,1.0,doc,0,1024
64,1536,64,0.041666666666666664,0.0016036691542039294,0.9999960996173376,0.4987933423271359,0.47838288618430824,0.95,doc,0,1024
128,1536,128,0.08333333333333333,0.002702950869547682,0.9999771564981044,0.5113847080837682,0.5081197694322255,1.0,doc,0,1024
128,1536,128,0.08333333333333333,0.010524480633324384,0.9999951161397609,0.0018070030905127379,0.010653783171401839,1.0,doc,0,1024
128,1536,128,0.08333333333333333,0.004145184910378278,0.9999891482190113,0.5694254672283687,0.5682671816351872,1.0,doc,0,1024
128,1536,128,0.08333333333333333,0.0010511390927262735,0.9999967925219939,0.4987933423271359,0.4983387964881967,1.0,doc,0,1024
256,1536,256,0.16666666666666666,0.0026384144571546175,0.9999914169229667,0.5113847080837682,0.5207863660844084,0.95,doc,0,1024
256,1536,256,0.16666666666666666,0.007245481390751726,0.9999977759995706,0.0018070030905127379,0.00728820808291993,1.0,doc,0,1024
256,1536,256,0.16666666666666666,0.0025100210736820516,0.999995239074458,0.5694254672283687,0.5667751851021006,1.0,doc,0,1024
256,1536,256,0.16666666666666666,0.0006505549236935727,0.9999981001001357,0.4987933423271359,0.49853812260606717,1.0,doc,0,1024
384,1536,384,0.25,0.0016271727296625733,0.9999964684214289,0.5113847080837682,0.5103046382228974,1.0,doc,0,1024
384,1536,384,0.25,0.0052725341500148015,0.9999989829947784,0.0018070030905127379,0.005374991350609781,1.0,doc,0,1024
384,1536,384,0.25,0.0015003495368959927,0.9999976083613473,0.5694254672283687,0.5683200278545035,1.0,doc,0,1024
384,1536,384,0.25,0.00048341205726197816,0.99999849125599,0.4987933423271359,0.49900137993155946,1.0,doc,0,1024
512,1536,512,0.3333333333333333,0.0006963592938243571,0.9999987371253842,0.5113847080837682,0.5106287115947782,1.0,doc,0,1024
512,1536,512,0.3333333333333333,0.003226090259635325,0.9999995417888561,0.0018070030905127379,0.003690850355854487,1.0,doc,0,1024
512,1536,512,0.3333333333333333,0.001120454573392297,0.9999989047636075,0.5694254672283687,0.5684291038150923,1.0,doc,0,1024
512,1536,512,0.3333333333333333,0.00028308995374688283,0.9999988824118444,0.4987933423271359,0.4990645199951782,1.0,doc,0,1024
768,1536,768,0.5,0.00019637289651924618,0.9999997317788425,0.5113847080837682,0.5112492313207231,1.0,doc,0,1024
768,1536,768,0.5,0.0011212204145431884,0.9999998994170658,0.0018070030905127379,0.002056700233756399,1.0,doc,0,1024
768,1536,768,0.5,0.0002752252706905149,0.999999843537658,0.5694254672283687,0.5694798166086231,1.0,doc,0,1024
768,1536,768,0.5,8.213235661113517e-05,0.999999742954724,0.4987933423271359,0.4987899406692275,1.0,doc,0,1024
1536,1536,1536,1.0,3.017344853096202e-07,0.9999999999999998,0.5113847080837682,0.5113849047351212,1.0,doc,0,1024
