dc,native_elems,latent_elems,bytes_ratio,rl2_latent,logit_spearman,rl2_sparse_orig,rl2_sparse_latent,sparse_support,model,regime,layer
32,256,32,0.125,0.5856157024052162,0.9727226788566927,0.005392940678611025,0.6053113971401319,0.7195121951219512,0.5B,longdoc,0
32,256,32,0.125,0.0701549297934719,0.9224205534881125,0.1485004685775933,0.14361404712556314,0.5365853658536586,0.5B,longdoc,0
32,256,32,0.125,0.25161206181087803,0.9717940358746036,0.03199411976739392,0.27999173148033685,0.8414634146341463,0.5B,longdoc,0
32,256,32,0.125,0.744520758363996,0.9863421526396626,0.00021984233411843812,0.7445355217845898,0.8658536585365854,0.5B,longdoc,0
32,256,32,0.125,0.24167598613967106,0.9155010433444444,0.0861004314246723,0.3166427165502955,0.7073170731707317,0.5B,longdoc,0
64,256,64,0.25,0.37875888200857655,0.9941352006859638,0.005392940678611025,0.3803283264747505,0.8780487804878049,0.5B,longdoc,0
64,256,64,0.25,0.039189947866878544,0.9783687867951602,0.1485004685775933,0.1353640508653454,0.7073170731707317,0.5B,longdoc,0
64,256,64,0.25,0.21291366713920665,0.9907845633315966,0.03199411976739392,0.22052947465925057,0.9146341463414634,0.5B,longdoc,0
64,256,64,0.25,0.6781912219690118,0.998224449820225,0.00021984233411843812,0.6782073317088056,0.9390243902439024,0.5B,longdoc,0
64,256,64,0.25,0.2984060994909602,0.9740769016471894,0.0861004314246723,0.39735511078643954,0.8658536585365854,0.5B,longdoc,0
128,256,128,0.5,0.23016647104245147,0.9999948697510843,0.005392940678611025,0.23177240641574287,1.0,0.5B,longdoc,0
128,256,128,0.5,0.008391461399991383,0.9998860342243744,0.1485004685775933,0.15221068344756697,0.975609756097561,0.5B,longdoc,0
128,256,128,0.5,0.14945168262606257,0.9999906774022648,0.03199411976739392,0.16213855408557085,0.9878048780487805,0.5B,longdoc,0
128,256,128,0.5,0.3359816679667301,0.9999806690600355,0.00021984233411843812,0.3359810829088519,0.9878048780487805,0.5B,longdoc,0
128,256,128,0.5,0.14801606425819308,0.9995451944143441,0.0861004314246723,0.20504636572121016,0.975609756097561,0.5B,longdoc,0
