outcome,predictor,pearson_r
oracle_rl2_s16,entropy,0.6810983859239816
oracle_rl2_s16,gini,-0.24929746994433774
oracle_rl2_s16,value_spectral,0.28804245827894615
oracle_rl2_s16,margin_top16,-0.23200516919016903
oracle_rl2_s16,mass_top16,-0.8050638498511159
jl_rl2_s16,entropy,-0.16761662031727934
jl_rl2_s16,gini,0.1787183379431366
jl_rl2_s16,value_spectral,0.05779646282975086
jl_rl2_s16,margin_top16,-0.019314307928475237
jl_rl2_s16,mass_top16,0.025111905027330503
quant4_rl2,entropy,-0.16916416041713248
quant4_rl2,gini,0.0927232577327745
quant4_rl2,value_spectral,-0.030531941894152825
quant4_rl2,margin_top16,0.029130595178674636
quant4_rl2,mass_top16,0.0758488070017629
