reusable_fraction,hit_rate,overhead,end_to_end_speedup,reaches_10x,reaches_100x
0.5,0.5,0.0,1.333,False,False
0.5,0.5,0.01,1.329,False,False
0.5,0.5,0.03,1.32,False,False
0.5,0.5,0.05,1.311,False,False
0.5,0.5,0.1,1.29,False,False
0.5,0.7,0.0,1.538,False,False
0.5,0.7,0.01,1.53,False,False
0.5,0.7,0.03,1.514,False,False
0.5,0.7,0.05,1.498,False,False
0.5,0.7,0.1,1.46,False,False
0.5,0.9,0.0,1.818,False,False
0.5,0.9,0.01,1.803,False,False
0.5,0.9,0.03,1.775,False,False
0.5,0.9,0.05,1.747,False,False
0.5,0.9,0.1,1.681,False,False
0.5,0.95,0.0,1.905,False,False
0.5,0.95,0.01,1.888,False,False
0.5,0.95,0.03,1.854,False,False
0.5,0.95,0.05,1.822,False,False
0.5,0.95,0.1,1.747,False,False
0.5,0.99,0.0,1.98,False,False
0.5,0.99,0.01,1.961,False,False
0.5,0.99,0.03,1.924,False,False
0.5,0.99,0.05,1.888,False,False
0.5,0.99,0.1,1.803,False,False
0.7,0.5,0.0,1.538,False,False
0.7,0.5,0.01,1.53,False,False
0.7,0.5,0.03,1.514,False,False
0.7,0.5,0.05,1.498,False,False
0.7,0.5,0.1,1.46,False,False
0.7,0.7,0.0,1.961,False,False
0.7,0.7,0.01,1.942,False,False
0.7,0.7,0.03,1.906,False,False
0.7,0.7,0.05,1.871,False,False
0.7,0.7,0.1,1.789,False,False
0.7,0.9,0.0,2.703,False,False
0.7,0.9,0.01,2.657,False,False
0.7,0.9,0.03,2.571,False,False
0.7,0.9,0.05,2.491,False,False
0.7,0.9,0.1,2.309,False,False
0.7,0.95,0.0,2.985,False,False
0.7,0.95,0.01,2.927,False,False
0.7,0.95,0.03,2.817,False,False
0.7,0.95,0.05,2.716,False,False
0.7,0.95,0.1,2.491,False,False
0.7,0.99,0.0,3.257,False,False
0.7,0.99,0.01,3.185,False,False
0.7,0.99,0.03,3.051,False,False
0.7,0.99,0.05,2.927,False,False
0.7,0.99,0.1,2.657,False,False
0.9,0.5,0.0,1.818,False,False
0.9,0.5,0.01,1.803,False,False
0.9,0.5,0.03,1.775,False,False
0.9,0.5,0.05,1.747,False,False
0.9,0.5,0.1,1.681,False,False
0.9,0.7,0.0,2.703,False,False
0.9,0.7,0.01,2.657,False,False
0.9,0.7,0.03,2.571,False,False
0.9,0.7,0.05,2.491,False,False
0.9,0.7,0.1,2.309,False,False
0.9,0.9,0.0,5.263,False,False
0.9,0.9,0.01,5.048,False,False
0.9,0.9,0.03,4.666,False,False
0.9,0.9,0.05,4.338,False,False
0.9,0.9,0.1,3.69,False,False
0.9,0.95,0.0,6.897,False,False
0.9,0.95,0.01,6.513,False,False
0.9,0.95,0.03,5.86,False,False
0.9,0.95,0.05,5.326,False,False
0.9,0.95,0.1,4.338,False,False
0.9,0.99,0.0,9.174,False,False
0.9,0.99,0.01,8.481,False,False
0.9,0.99,0.03,7.368,False,False
0.9,0.99,0.05,6.513,False,False
0.9,0.99,0.1,5.048,False,False
0.95,0.5,0.0,1.905,False,False
0.95,0.5,0.01,1.888,False,False
0.95,0.5,0.03,1.854,False,False
0.95,0.5,0.05,1.822,False,False
0.95,0.5,0.1,1.747,False,False
0.95,0.7,0.0,2.985,False,False
0.95,0.7,0.01,2.927,False,False
0.95,0.7,0.03,2.817,False,False
0.95,0.7,0.05,2.716,False,False
0.95,0.7,0.1,2.491,False,False
0.95,0.9,0.0,6.897,False,False
0.95,0.9,0.01,6.513,False,False
0.95,0.9,0.03,5.86,False,False
0.95,0.9,0.05,5.326,False,False
0.95,0.9,0.1,4.338,False,False
0.95,0.95,0.0,10.256,True,False
0.95,0.95,0.01,9.387,False,False
0.95,0.95,0.03,8.027,False,False
0.95,0.95,0.05,7.011,False,False
0.95,0.95,0.1,5.326,False,False
0.95,0.99,0.0,16.807,True,False
0.95,0.99,0.01,14.513,True,False
0.95,0.99,0.03,11.401,True,False
0.95,0.99,0.05,9.387,False,False
0.95,0.99,0.1,6.513,False,False
0.99,0.5,0.0,1.98,False,False
0.99,0.5,0.01,1.961,False,False
0.99,0.5,0.03,1.924,False,False
0.99,0.5,0.05,1.888,False,False
0.99,0.5,0.1,1.803,False,False
0.99,0.7,0.0,3.257,False,False
0.99,0.7,0.01,3.185,False,False
0.99,0.7,0.03,3.051,False,False
0.99,0.7,0.05,2.927,False,False
0.99,0.7,0.1,2.657,False,False
0.99,0.9,0.0,9.174,False,False
0.99,0.9,0.01,8.481,False,False
0.99,0.9,0.03,7.368,False,False
0.99,0.9,0.05,6.513,False,False
0.99,0.9,0.1,5.048,False,False
0.99,0.95,0.0,16.807,True,False
0.99,0.95,0.01,14.513,True,False
0.99,0.95,0.03,11.401,True,False
0.99,0.95,0.05,9.387,False,False
0.99,0.95,0.1,6.513,False,False
0.99,0.99,0.0,50.251,True,False
0.99,0.99,0.01,33.669,True,False
0.99,0.99,0.03,20.283,True,False
0.99,0.99,0.05,14.513,True,False
0.99,0.99,0.1,8.481,False,False
