reusable_fraction,hit_rate,overhead,end_to_end_speedup,reaches_10x,reaches_100x
0.5,0.5,0.0,1.33,False,False
0.5,0.5,0.01,1.33,False,False
0.5,0.5,0.03,1.32,False,False
0.5,0.5,0.05,1.31,False,False
0.5,0.5,0.1,1.29,False,False
0.5,0.7,0.0,1.54,False,False
0.5,0.7,0.01,1.53,False,False
0.5,0.7,0.03,1.51,False,False
0.5,0.7,0.05,1.5,False,False
0.5,0.7,0.1,1.46,False,False
0.5,0.9,0.0,1.82,False,False
0.5,0.9,0.01,1.8,False,False
0.5,0.9,0.03,1.77,False,False
0.5,0.9,0.05,1.75,False,False
0.5,0.9,0.1,1.68,False,False
0.5,0.95,0.0,1.9,False,False
0.5,0.95,0.01,1.89,False,False
0.5,0.95,0.03,1.85,False,False
0.5,0.95,0.05,1.82,False,False
0.5,0.95,0.1,1.75,False,False
0.5,0.99,0.0,1.98,False,False
0.5,0.99,0.01,1.96,False,False
0.5,0.99,0.03,1.92,False,False
0.5,0.99,0.05,1.89,False,False
0.5,0.99,0.1,1.8,False,False
0.7,0.5,0.0,1.54,False,False
0.7,0.5,0.01,1.53,False,False
0.7,0.5,0.03,1.51,False,False
0.7,0.5,0.05,1.5,False,False
0.7,0.5,0.1,1.46,False,False
0.7,0.7,0.0,1.96,False,False
0.7,0.7,0.01,1.94,False,False
0.7,0.7,0.03,1.91,False,False
0.7,0.7,0.05,1.87,False,False
0.7,0.7,0.1,1.79,False,False
0.7,0.9,0.0,2.7,False,False
0.7,0.9,0.01,2.66,False,False
0.7,0.9,0.03,2.57,False,False
0.7,0.9,0.05,2.49,False,False
0.7,0.9,0.1,2.31,False,False
0.7,0.95,0.0,2.99,False,False
0.7,0.95,0.01,2.93,False,False
0.7,0.95,0.03,2.82,False,False
0.7,0.95,0.05,2.72,False,False
0.7,0.95,0.1,2.49,False,False
0.7,0.99,0.0,3.26,False,False
0.7,0.99,0.01,3.19,False,False
0.7,0.99,0.03,3.05,False,False
0.7,0.99,0.05,2.93,False,False
0.7,0.99,0.1,2.66,False,False
0.9,0.5,0.0,1.82,False,False
0.9,0.5,0.01,1.8,False,False
0.9,0.5,0.03,1.77,False,False
0.9,0.5,0.05,1.75,False,False
0.9,0.5,0.1,1.68,False,False
0.9,0.7,0.0,2.7,False,False
0.9,0.7,0.01,2.66,False,False
0.9,0.7,0.03,2.57,False,False
0.9,0.7,0.05,2.49,False,False
0.9,0.7,0.1,2.31,False,False
0.9,0.9,0.0,5.26,False,False
0.9,0.9,0.01,5.05,False,False
0.9,0.9,0.03,4.67,False,False
0.9,0.9,0.05,4.34,False,False
0.9,0.9,0.1,3.69,False,False
0.9,0.95,0.0,6.9,False,False
0.9,0.95,0.01,6.51,False,False
0.9,0.95,0.03,5.86,False,False
0.9,0.95,0.05,5.33,False,False
0.9,0.95,0.1,4.34,False,False
0.9,0.99,0.0,9.17,False,False
0.9,0.99,0.01,8.48,False,False
0.9,0.99,0.03,7.37,False,False
0.9,0.99,0.05,6.51,False,False
0.9,0.99,0.1,5.05,False,False
0.95,0.5,0.0,1.9,False,False
0.95,0.5,0.01,1.89,False,False
0.95,0.5,0.03,1.85,False,False
0.95,0.5,0.05,1.82,False,False
0.95,0.5,0.1,1.75,False,False
0.95,0.7,0.0,2.99,False,False
0.95,0.7,0.01,2.93,False,False
0.95,0.7,0.03,2.82,False,False
0.95,0.7,0.05,2.72,False,False
0.95,0.7,0.1,2.49,False,False
0.95,0.9,0.0,6.9,False,False
0.95,0.9,0.01,6.51,False,False
0.95,0.9,0.03,5.86,False,False
0.95,0.9,0.05,5.33,False,False
0.95,0.9,0.1,4.34,False,False
0.95,0.95,0.0,10.26,True,False
0.95,0.95,0.01,9.39,False,False
0.95,0.95,0.03,8.03,False,False
0.95,0.95,0.05,7.01,False,False
0.95,0.95,0.1,5.33,False,False
0.95,0.99,0.0,16.81,True,False
0.95,0.99,0.01,14.51,True,False
0.95,0.99,0.03,11.4,True,False
0.95,0.99,0.05,9.39,False,False
0.95,0.99,0.1,6.51,False,False
0.99,0.5,0.0,1.98,False,False
0.99,0.5,0.01,1.96,False,False
0.99,0.5,0.03,1.92,False,False
0.99,0.5,0.05,1.89,False,False
0.99,0.5,0.1,1.8,False,False
0.99,0.7,0.0,3.26,False,False
0.99,0.7,0.01,3.19,False,False
0.99,0.7,0.03,3.05,False,False
0.99,0.7,0.05,2.93,False,False
0.99,0.7,0.1,2.66,False,False
0.99,0.9,0.0,9.17,False,False
0.99,0.9,0.01,8.48,False,False
0.99,0.9,0.03,7.37,False,False
0.99,0.9,0.05,6.51,False,False
0.99,0.9,0.1,5.05,False,False
0.99,0.95,0.0,16.81,True,False
0.99,0.95,0.01,14.51,True,False
0.99,0.95,0.03,11.4,True,False
0.99,0.95,0.05,9.39,False,False
0.99,0.95,0.1,6.51,False,False
0.99,0.99,0.0,50.25,True,False
0.99,0.99,0.01,33.67,True,False
0.99,0.99,0.03,20.28,True,False
0.99,0.99,0.05,14.51,True,False
0.99,0.99,0.1,8.48,False,False
