session,turn,prompt_tokens,reusable_prefix,reusable_fraction,exact_hit,canon_hit,shared,doc_shared
0,0,3080,3000,0.974025974025974,0,0,3000,1
0,1,3410,3330,0.9765395894428153,1,1,3000,1
0,2,3740,3660,0.9786096256684492,1,1,3000,1
0,3,4070,3990,0.9803439803439803,1,1,3000,1
0,4,4400,4320,0.9818181818181818,1,1,3000,1
0,5,4730,4650,0.9830866807610994,1,1,3000,1
0,6,5060,4980,0.9841897233201581,1,1,3000,1
0,7,5390,5310,0.9851576994434137,1,1,3000,1
1,0,3080,3000,0.974025974025974,0,0,3000,1
1,1,3410,3330,0.9765395894428153,0,1,3000,1
1,2,3740,3660,0.9786096256684492,0,1,3000,1
1,3,4070,3990,0.9803439803439803,0,1,3000,1
1,4,4400,4320,0.9818181818181818,0,1,3000,1
1,5,4730,4650,0.9830866807610994,0,1,3000,1
1,6,5060,4980,0.9841897233201581,0,1,3000,1
1,7,5390,5310,0.9851576994434137,0,1,3000,1
2,0,1580,1500,0.9493670886075949,0,0,1500,0
2,1,1910,1830,0.9581151832460733,1,1,1500,0
2,2,2240,2160,0.9642857142857143,1,1,1500,0
2,3,2570,2490,0.9688715953307393,1,1,1500,0
2,4,2900,2820,0.9724137931034482,1,1,1500,0
2,5,3230,3150,0.9752321981424149,1,1,1500,0
2,6,3560,3480,0.9775280898876404,1,1,1500,0
2,7,3890,3810,0.9794344473007712,1,1,1500,0
3,0,1580,1500,0.9493670886075949,0,0,1500,0
3,1,1910,1830,0.9581151832460733,1,1,1500,0
3,2,2240,2160,0.9642857142857143,1,1,1500,0
3,3,2570,2490,0.9688715953307393,1,1,1500,0
3,4,2900,2820,0.9724137931034482,1,1,1500,0
3,5,3230,3150,0.9752321981424149,1,1,1500,0
3,6,3560,3480,0.9775280898876404,1,1,1500,0
3,7,3890,3810,0.9794344473007712,1,1,1500,0
4,0,1580,1500,0.9493670886075949,0,0,1500,0
4,1,1910,1830,0.9581151832460733,1,1,1500,0
4,2,2240,2160,0.9642857142857143,1,1,1500,0
4,3,2570,2490,0.9688715953307393,1,1,1500,0
4,4,2900,2820,0.9724137931034482,1,1,1500,0
4,5,3230,3150,0.9752321981424149,1,1,1500,0
4,6,3560,3480,0.9775280898876404,1,1,1500,0
4,7,3890,3810,0.9794344473007712,1,1,1500,0
5,0,3080,3000,0.974025974025974,0,0,3000,1
5,1,3410,3330,0.9765395894428153,1,1,3000,1
5,2,3740,3660,0.9786096256684492,1,1,3000,1
5,3,4070,3990,0.9803439803439803,1,1,3000,1
5,4,4400,4320,0.9818181818181818,1,1,3000,1
5,5,4730,4650,0.9830866807610994,1,1,3000,1
5,6,5060,4980,0.9841897233201581,1,1,3000,1
5,7,5390,5310,0.9851576994434137,1,1,3000,1
6,0,3080,3000,0.974025974025974,0,0,3000,1
6,1,3410,3330,0.9765395894428153,1,1,3000,1
6,2,3740,3660,0.9786096256684492,1,1,3000,1
6,3,4070,3990,0.9803439803439803,1,1,3000,1
6,4,4400,4320,0.9818181818181818,1,1,3000,1
6,5,4730,4650,0.9830866807610994,1,1,3000,1
6,6,5060,4980,0.9841897233201581,1,1,3000,1
6,7,5390,5310,0.9851576994434137,1,1,3000,1
7,0,3080,3000,0.974025974025974,0,0,3000,1
7,1,3410,3330,0.9765395894428153,1,1,3000,1
7,2,3740,3660,0.9786096256684492,1,1,3000,1
7,3,4070,3990,0.9803439803439803,1,1,3000,1
7,4,4400,4320,0.9818181818181818,1,1,3000,1
7,5,4730,4650,0.9830866807610994,1,1,3000,1
7,6,5060,4980,0.9841897233201581,1,1,3000,1
7,7,5390,5310,0.9851576994434137,1,1,3000,1
8,0,3080,3000,0.974025974025974,0,0,3000,1
8,1,3410,3330,0.9765395894428153,1,1,3000,1
8,2,3740,3660,0.9786096256684492,1,1,3000,1
8,3,4070,3990,0.9803439803439803,1,1,3000,1
8,4,4400,4320,0.9818181818181818,1,1,3000,1
8,5,4730,4650,0.9830866807610994,1,1,3000,1
8,6,5060,4980,0.9841897233201581,1,1,3000,1
8,7,5390,5310,0.9851576994434137,1,1,3000,1
9,0,3080,3000,0.974025974025974,0,0,3000,1
9,1,3410,3330,0.9765395894428153,0,1,3000,1
9,2,3740,3660,0.9786096256684492,0,1,3000,1
9,3,4070,3990,0.9803439803439803,0,1,3000,1
9,4,4400,4320,0.9818181818181818,0,1,3000,1
9,5,4730,4650,0.9830866807610994,0,1,3000,1
9,6,5060,4980,0.9841897233201581,0,1,3000,1
9,7,5390,5310,0.9851576994434137,0,1,3000,1
10,0,3080,3000,0.974025974025974,0,0,3000,1
10,1,3410,3330,0.9765395894428153,0,1,3000,1
10,2,3740,3660,0.9786096256684492,0,1,3000,1
10,3,4070,3990,0.9803439803439803,0,1,3000,1
10,4,4400,4320,0.9818181818181818,0,1,3000,1
10,5,4730,4650,0.9830866807610994,0,1,3000,1
10,6,5060,4980,0.9841897233201581,0,1,3000,1
10,7,5390,5310,0.9851576994434137,0,1,3000,1
11,0,3080,3000,0.974025974025974,0,0,3000,1
11,1,3410,3330,0.9765395894428153,1,1,3000,1
11,2,3740,3660,0.9786096256684492,1,1,3000,1
11,3,4070,3990,0.9803439803439803,1,1,3000,1
11,4,4400,4320,0.9818181818181818,1,1,3000,1
11,5,4730,4650,0.9830866807610994,1,1,3000,1
11,6,5060,4980,0.9841897233201581,1,1,3000,1
11,7,5390,5310,0.9851576994434137,1,1,3000,1
12,0,3080,3000,0.974025974025974,0,0,3000,1
12,1,3410,3330,0.9765395894428153,1,1,3000,1
12,2,3740,3660,0.9786096256684492,1,1,3000,1
12,3,4070,3990,0.9803439803439803,1,1,3000,1
12,4,4400,4320,0.9818181818181818,1,1,3000,1
12,5,4730,4650,0.9830866807610994,1,1,3000,1
12,6,5060,4980,0.9841897233201581,1,1,3000,1
12,7,5390,5310,0.9851576994434137,1,1,3000,1
13,0,1580,1500,0.9493670886075949,0,0,1500,0
13,1,1910,1830,0.9581151832460733,1,1,1500,0
13,2,2240,2160,0.9642857142857143,1,1,1500,0
13,3,2570,2490,0.9688715953307393,1,1,1500,0
13,4,2900,2820,0.9724137931034482,1,1,1500,0
13,5,3230,3150,0.9752321981424149,1,1,1500,0
13,6,3560,3480,0.9775280898876404,1,1,1500,0
13,7,3890,3810,0.9794344473007712,1,1,1500,0
14,0,3080,3000,0.974025974025974,0,0,3000,1
14,1,3410,3330,0.9765395894428153,1,1,3000,1
