method,eff_bits,median_rel_l2,p90_rel_l2,median_js,pareto
uniform_2bit,2.0,1.3914809200454643,5.038629164412758,0.3977393306481911,True
adapt_imp_h4l2f25,2.5010227744819544,0.823886239929321,2.362260354582404,0.20002562470081586,True
adapt_imp_h8l2f10,2.5861575445677416,0.8560440760824899,2.780276845705976,0.21256610955483074,False
uniform_3bit,3.0,0.5805625710380181,1.9452772584253497,0.09226518928318594,True
routed_r8bg2,3.493939332358377,0.6067575937383904,2.577710304684976,0.16245300138255744,False
adapt_imp_h8l2f25,3.5030683234458624,0.6242055337479673,2.352960012442532,0.13355214513126812,False
adapt_margin_h8l2f25,3.5030683234458624,0.8900702102632032,2.551707072510515,0.21959421019578726,False
uniform_4bit,4.0,0.24588827855022016,0.6177654766854438,0.01780319927988675,True
recent64_r8o2,4.179663623943573,0.6977213476909359,2.68639543968075,0.19042673628023304,False
adapt_imp_h8l4f10,4.390771696378494,0.0307400387631816,0.2939817772579225,0.0021811104604640003,True
adapt_margin_h8l4f10,4.390771696378494,0.12252661017629805,0.6175989349997328,0.00382450503609335,False
recent128_r8o2,4.645041533601432,0.6263270256958813,2.5431533743465313,0.16376853415645976,False
routed_r8bg4,4.995959554905585,0.0239545067625291,0.16531910077259243,0.0012717368102026,True
adapt_imp_h8l4f25,5.002045548963909,0.0220517963946196,0.1617067098488418,0.00068920371156145,True
adapt_margin_h8l4f25,5.002045548963909,0.03918988169160525,0.5082517771573675,0.0010566742686689001,False
recent64_r8o4,5.453109082629049,0.07112708758886105,0.32047592535500213,0.00254122974917125,False
routed_r16bg2,5.485858442169546,0.5572709258190863,2.556626267406357,0.14555541248069503,False
recent128_r8o4,5.763361022400955,0.06901206412048945,0.31449985165968447,0.0021448187078607498,False
uniform_8bit,8.0,0.015533661234445051,0.04045322235426094,6.122487211011676e-05,True
