prompt,regime,layer,head,T,method,eff_bits,storage_ratio,rel_l2,cosine,js,topk_overlap
short_qa,short,0,0,44,uniform_8bit,8.0,0.5,0.03512403717342563,0.9997875767784302,0.0003475444953977565,1.0
short_qa,short,0,0,44,uniform_4bit,4.0,0.25,0.32889758966205734,0.9683174742191691,0.04898096186146601,0.75
short_qa,short,0,0,44,uniform_3bit,3.0,0.1875,0.6974164584297944,0.8750563528194528,0.04032519426847829,0.75
short_qa,short,0,0,44,uniform_2bit,2.0,0.125,0.6629723511702412,0.7734932097021538,0.09337724823281589,0.625
short_qa,short,0,0,44,adapt_imp_h8l4f10,4.363636363636363,0.2727272727272727,1.2300550826441372,-0.14809060910056143,0.3509708486341935,0.75
short_qa,short,0,0,44,adapt_imp_h8l4f25,5.0,0.3125,1.23016918699239,-0.14188576803977443,0.34549148773145694,0.625
short_qa,short,0,0,44,adapt_imp_h8l2f10,2.5454545454545454,0.1590909090909091,1.469845581210586,-0.17376684218552146,0.27980490324814633,0.5
short_qa,short,0,0,44,adapt_imp_h8l2f25,3.5,0.21875,1.367158616408865,-0.12748028697533226,0.21718435703585476,0.75
short_qa,short,0,0,44,adapt_imp_h4l2f25,2.5,0.15625,1.2234125589443314,-0.16110405344244977,0.44764080823732233,0.625
short_qa,short,0,0,44,adapt_margin_h8l4f10,4.363636363636363,0.2727272727272727,1.2276892451402046,-0.12694063141718812,0.5321707872813708,0.5
short_qa,short,0,0,44,adapt_margin_h8l4f25,5.0,0.3125,1.4413049682492727,-0.30812865364986086,0.3985633286669249,0.375
short_qa,short,0,0,44,adapt_margin_h8l2f25,3.5,0.21875,1.4798758870138626,-0.2979827572323275,0.4582550626282903,0.5
short_qa,short,0,0,44,recent64_r8o2,8.0,0.5,1.2696880068983718,-0.1473947786979833,0.24236494999925434,0.5
short_qa,short,0,0,44,recent128_r8o2,8.0,0.5,1.2696880068983718,-0.1473947786979833,0.24236494999925434,0.5
short_qa,short,0,0,44,recent64_r8o4,8.0,0.5,1.2696880068983718,-0.1473947786979833,0.24236494999925434,0.5
short_qa,short,0,0,44,recent128_r8o4,8.0,0.5,1.2696880068983718,-0.1473947786979833,0.24236494999925434,0.5
short_qa,short,0,0,44,routed_r8bg2,6.363636363636363,0.3977272727272727,1.2709635000128,-0.14818132271766565,0.24272649828772053,0.5
short_qa,short,0,0,44,routed_r8bg4,6.909090909090909,0.4318181818181818,1.262057051578643,-0.1440455684358728,0.24705510949851328,0.5
short_qa,short,0,0,44,routed_r16bg2,12.181818181818182,0.7613636363636364,0.0006572158081384045,0.9999999201514705,0.00035277412323624763,1.0
short_qa,short,0,1,44,uniform_8bit,8.0,0.5,0.013275105554235571,0.9999124522570452,3.077249252497185e-05,0.875
short_qa,short,0,1,44,uniform_4bit,4.0,0.25,0.7107373365516322,0.7383946748697601,0.6688963157013565,0.75
short_qa,short,0,1,44,uniform_3bit,3.0,0.1875,0.5047689248275182,0.8806267708313389,0.0006354689635711026,0.75
short_qa,short,0,1,44,uniform_2bit,2.0,0.125,0.6414726794100652,0.7671459098605633,0.00015104425021595448,0.75
short_qa,short,0,1,44,adapt_imp_h8l4f10,4.363636363636363,0.2727272727272727,0.8413864285647968,0.541907850726775,0.6928214549489347,0.25
short_qa,short,0,1,44,adapt_imp_h8l4f25,5.0,0.3125,0.793361730167945,0.6108420642888543,0.6931126374220937,0.0
short_qa,short,0,1,44,adapt_imp_h8l2f10,2.5454545454545454,0.1590909090909091,0.014500932353913549,0.9999086671370286,0.00145220681197183,0.625
short_qa,short,0,1,44,adapt_imp_h8l2f25,3.5,0.21875,0.015533191622194789,0.9999072522538314,0.002091416335337343,0.875
short_qa,short,0,1,44,adapt_imp_h4l2f25,2.5,0.15625,0.841388428202015,0.5419051013233316,0.6928230480509886,0.75
short_qa,short,0,1,44,adapt_margin_h8l4f10,4.363636363636363,0.2727272727272727,0.8413863491962762,0.5419079650428771,0.6928208862211778,0.25
short_qa,short,0,1,44,adapt_margin_h8l4f25,5.0,0.3125,0.6593449819871852,0.7737191933126695,0.6730343816821087,0.125
short_qa,short,0,1,44,adapt_margin_h8l2f25,3.5,0.21875,0.8932919901988253,0.46455383682431356,0.6920499373798524,0.5
short_qa,short,0,1,44,recent64_r8o2,8.0,0.5,0.015566041808696461,0.9999071901274817,0.002109487267113394,0.875
short_qa,short,0,1,44,recent128_r8o2,8.0,0.5,0.015566041808696461,0.9999071901274817,0.002109487267113394,0.875
short_qa,short,0,1,44,recent64_r8o4,8.0,0.5,0.015566041808696461,0.9999071901274817,0.002109487267113394,0.875
short_qa,short,0,1,44,recent128_r8o4,8.0,0.5,0.015566041808696461,0.9999071901274817,0.002109487267113394,0.875
short_qa,short,0,1,44,routed_r8bg2,6.363636363636363,0.3977272727272727,0.015565934344450494,0.9999071902064968,0.002109424205205914,0.875
short_qa,short,0,1,44,routed_r8bg4,6.909090909090909,0.4318181818181818,0.6814645555890286,0.74542792483787,0.6929496864772258,0.0
short_qa,short,0,1,44,routed_r16bg2,12.181818181818182,0.7613636363636364,4.364702189920358e-09,0.9999999999949616,1.4484214180518848e-09,1.0
short_qa,short,0,2,44,uniform_8bit,8.0,0.5,0.025920410001839037,0.999701404752912,0.002600100935387366,0.875
short_qa,short,0,2,44,uniform_4bit,4.0,0.25,0.5938525321309839,0.8247022938052119,0.3421438061073673,0.375
short_qa,short,0,2,44,uniform_3bit,3.0,0.1875,0.5809735197589257,0.8937666719942268,0.05214414683652477,0.75
short_qa,short,0,2,44,uniform_2bit,2.0,0.125,1.0533409825652544,0.06181575741748871,0.347910986915285,0.125
short_qa,short,0,2,44,adapt_imp_h8l4f10,4.363636363636363,0.2727272727272727,0.6169860293278909,0.8005408437556107,0.5190111122223919,0.375
short_qa,short,0,2,44,adapt_imp_h8l4f25,5.0,0.3125,0.6609874918021992,0.7855275475389337,0.5906902101488943,0.0
short_qa,short,0,2,44,adapt_imp_h8l2f10,2.5454545454545454,0.1590909090909091,0.4774881687942653,0.9915061213470011,0.15471276585861535,0.75
short_qa,short,0,2,44,adapt_imp_h8l2f25,3.5,0.21875,0.22085413542207588,0.9861762367428764,0.15268358628156764,0.875
short_qa,short,0,2,44,adapt_imp_h4l2f25,2.5,0.15625,0.4687177315463857,0.8859640056101638,0.3868340603317003,0.875
short_qa,short,0,2,44,adapt_margin_h8l4f10,4.363636363636363,0.2727272727272727,0.5212996255343113,0.8723994629082122,0.4073869836718863,0.5
