budget,method,median_rel_l2,improvement_vs_sparse,ratio_vs_sparse
8,sparse_renorm,0.15102009362371144,0.0,1.0
8,cheap_block_residual,0.09258512171066235,0.05843497191304908,0.6130649206280567
8,oracle_mass_global,0.11600866282918185,0.03501143079452959,0.7681670699942376
8,oracle_mass_block,0.0836637343794441,0.06735635924426733,0.5539907463433607
8,lowrank_k8,0.1257517858699403,0.025268307753771146,0.832682478553279
16,sparse_renorm,0.053420391750911,0.0,1.0
16,cheap_block_residual,0.0372745404232434,0.016145851327667597,0.6977586498625358
16,oracle_mass_global,0.03563863259099055,0.017781759159920446,0.6671353657825393
16,oracle_mass_block,0.0254648995437337,0.027955492207177298,0.476688745797141
16,lowrank_k8,0.0371641644337721,0.016256227317138897,0.6956924727744687
32,sparse_renorm,0.0152824357299947,0.0,1.0
32,cheap_block_residual,0.017670490749010198,-0.0023880550190154975,1.156261414162435
32,oracle_mass_global,0.0088598514520799,0.006422584277914801,0.5797407958137686
32,oracle_mass_block,0.00674923953157225,0.00853319619842245,0.441633758571978
32,lowrank_k8,0.00809370227963045,0.00718873345036425,0.5296081346342595
64,sparse_renorm,0.013479625183286052,0.0,1.0
64,cheap_block_residual,0.0110484242977119,0.002431200885574152,0.8196388362052752
64,oracle_mass_global,0.0062635460581709,0.007216079125115151,0.4646676723576359
64,oracle_mass_block,0.0051790860350043,0.00830053914828175,0.38421587874906676
64,lowrank_k8,0.00685288208948725,0.006626743093798801,0.5083881781805346
