prompt,regime,layer,head,T,method,param,budget,read,read_ratio,rel_l2,cosine,mass_retained,oracle_recall,pass_mod
short_qa,short,0,0,44,jl,8,8,8,0.18181818181818182,0.33022223726763883,0.9883088471309605,0.07165570942033003,0.25,False
short_qa,short,0,0,44,jl,16,8,8,0.18181818181818182,0.2966957484269187,0.9607177083261746,0.05444326861340227,0.25,False
short_qa,short,0,0,44,jl,32,8,8,0.18181818181818182,0.8702927714534759,0.5131731683979245,0.024909638146645926,0.125,False
short_qa,short,0,0,44,jl,64,8,8,0.18181818181818182,1.2756320211494359,-0.27069843075081806,0.03214148405891267,0.0,False
short_qa,short,0,0,44,jl,128,8,8,0.18181818181818182,0.14896630907843303,0.997722824899903,0.7697438665095587,0.5,False
short_qa,short,0,0,44,block_centroid,32,8,12,0.2727272727272727,0.03313694209995717,0.9998912648577214,0.928415687933245,0.875,True
short_qa,short,0,0,44,block_upperbound,32,8,32,0.7272727272727273,0.4297709373460052,0.9528029131983374,0.07158431206575508,0.125,False
short_qa,short,0,0,44,recency_router,64,8,8,0.18181818181818182,0.08310445712812348,0.9991703618767503,0.8744933064970764,0.75,True
short_qa,short,0,0,44,sink_recent_router,64,8,12,0.2727272727272727,0.08311456199668608,0.9991705842464648,0.8746085232246864,0.75,True
short_qa,short,0,0,44,jl,8,16,16,0.36363636363636365,0.19289694743278937,0.9822522015124361,0.10294566380527141,0.375,False
short_qa,short,0,0,44,jl,16,16,16,0.36363636363636365,0.5123004078898699,0.8614281918106934,0.15086306458145568,0.4375,False
short_qa,short,0,0,44,jl,32,16,16,0.36363636363636365,0.3483373500373473,0.9473447557192358,0.06359201947350157,0.1875,False
short_qa,short,0,0,44,jl,64,16,16,0.36363636363636365,1.0845594477655462,0.0835769827967562,0.17073818495397605,0.5,False
short_qa,short,0,0,44,jl,128,16,16,0.36363636363636365,0.06669027020472663,0.9978112132385233,0.8878467986907698,0.8125,True
short_qa,short,0,0,44,block_centroid,32,16,44,1.0,0.0,0.9999999999924727,0.999999999999,1.0,True
short_qa,short,0,0,44,block_upperbound,32,16,32,0.7272727272727273,0.4297709373460052,0.9528029131983374,0.07158431206575508,0.25,False
short_qa,short,0,0,44,recency_router,64,16,16,0.36363636363636365,0.007145235341294609,0.9999859942132686,0.9481874460799037,0.875,True
short_qa,short,0,0,44,sink_recent_router,64,16,20,0.45454545454545453,0.007151937387452242,0.9999860513404916,0.948302662807514,0.875,True
short_qa,short,0,0,44,jl,8,32,32,0.7272727272727273,0.4200462547846112,0.9095991816422822,0.22580318509157954,0.8125,False
short_qa,short,0,0,44,jl,16,32,32,0.7272727272727273,0.0659165145436264,0.9995033810218052,0.9030270193405949,0.75,True
short_qa,short,0,0,44,jl,32,32,32,0.7272727272727273,0.2950839450454322,0.9900089908806055,0.8603678832248716,0.6875,False
short_qa,short,0,0,44,jl,64,32,32,0.7272727272727273,0.003062423227446251,0.9999978003470655,0.9954515635654031,0.875,True
short_qa,short,0,0,44,jl,128,32,32,0.7272727272727273,0.0021112069059553993,0.9999994013800672,0.995228552198898,0.96875,True
short_qa,short,0,0,44,block_centroid,32,32,44,1.0,0.0,0.9999999999924727,0.999999999999,1.0,True
short_qa,short,0,0,44,block_upperbound,32,32,32,0.7272727272727273,0.4297709373460052,0.9528029131983374,0.07158431206575508,0.625,False
short_qa,short,0,0,44,recency_router,64,32,32,0.7272727272727273,0.0027468402815929815,0.9999991558462898,0.9977552896449233,0.9375,True
short_qa,short,0,0,44,sink_recent_router,64,32,36,0.8181818181818182,0.0027697360406807887,0.9999991441040761,0.9978705063725334,0.9375,True
short_qa,short,0,1,44,jl,8,8,8,0.18181818181818182,0.00016471909265846325,0.9999999963673872,0.9996094680255331,0.5,True
short_qa,short,0,1,44,jl,16,8,8,0.18181818181818182,0.0003787431056053797,0.9999999913727137,0.999407862422168,0.375,True
short_qa,short,0,1,44,jl,32,8,8,0.18181818181818182,1.161289951648421,-0.23301209543569892,4.060184719674059e-06,0.0,False
short_qa,short,0,1,44,jl,64,8,8,0.18181818181818182,0.6836433649793617,0.7298162527696316,0.00013030765257489874,0.25,False
short_qa,short,0,1,44,jl,128,8,8,0.18181818181818182,0.6795973062867792,0.8415350164317467,0.0005700561190545588,0.375,False
short_qa,short,0,1,44,block_centroid,32,8,12,0.2727272727272727,0.0004715552778584349,0.9999999867429862,0.9992845387065601,0.25,True
short_qa,short,0,1,44,block_upperbound,32,8,32,0.7272727272727273,0.6586210928379663,0.8591393140528056,0.0007154612924398492,0.75,False
short_qa,short,0,1,44,recency_router,64,8,8,0.18181818181818182,0.00047300683655535086,0.9999999866699817,0.999282660932574,0.25,True
short_qa,short,0,1,44,sink_recent_router,64,8,12,0.2727272727272727,0.0004630375187528227,0.9999999869138457,0.9994566545029462,0.375,True
short_qa,short,0,1,44,jl,8,16,16,0.36363636363636365,9.758981110270272e-05,0.9999999978358733,0.9996936628201252,0.5,True
short_qa,short,0,1,44,jl,16,16,16,0.36363636363636365,0.0003732971458174885,0.9999999914791614,0.9995779598545024,0.5,True
short_qa,short,0,1,44,jl,32,16,16,0.36363636363636365,0.062022315035450214,0.9997222518089636,0.000174230169408594,0.1875,True
