method,segment,mean_read_ratio,median_rel_l2,frac_mod,mean_oracle_recall,mean_mass
jl,all,0.15093383292583412,0.4726835397636775,0.2628072196620584,0.39482151857718895,0.5672232639562627
jl,long,0.028176164788539137,0.6899845767807657,0.1926190476190476,0.29064290364583334,0.4833949692203137
jl,needle,0.01933073123593801,0.7120406250392198,0.19327380952380951,0.2830250186011905,0.47913035026141976
block_centroid,all,0.22901857925491634,0.22958335177788966,0.37653609831029183,0.6657838601670507,0.7283729397948341
block_centroid,long,0.038757471323887724,0.3014814948616501,0.31101190476190477,0.6229457310267857,0.7016760792280867
block_centroid,needle,0.025518746736809875,0.3035589892889667,0.29523809523809524,0.6025460379464286,0.6997089338140261
block_upperbound,all,0.2263445197747779,0.480447172057361,0.26401689708141324,0.5367673531105991,0.5978031801343836
block_upperbound,long,0.03839391793275946,0.49186158855888523,0.2708333333333333,0.47680431547619045,0.577474885859844
block_upperbound,needle,0.025302877920550738,0.5818204398675784,0.25952380952380955,0.42614629836309526,0.553993509757865
recency_router,all,0.15132194437898536,0.7462034047343191,0.1541858678955453,0.47537142377112135,0.49418122469471965
recency_router,long,0.02851524123805458,0.7021469203244942,0.15446428571428572,0.43669898623511905,0.501896271608433
recency_router,needle,0.01957085299563444,0.7146787807493793,0.15595238095238095,0.42383277529761904,0.5001725871932271
sink_recent_router,all,0.17428395831021676,0.14389221390625595,0.4368279569892473,0.5389814948156681,0.8045842253726739
sink_recent_router,long,0.030778563470152415,0.15963566254595024,0.4147321428571429,0.4902262369791667,0.792003352338271
sink_recent_router,needle,0.021119296200153265,0.16202397878360564,0.41160714285714284,0.4783668154761905,0.796682704259405
