n,coverage,fail_rate_routed,fail_rate_overall,avg_read_fraction,kv_read_reduction,split,features,model,policy
2352,0.26445578231292516,0.04983922829581994,0.013180272108843538,0.7641551154860559,1.3086348304609992,random,cheap,logreg,selective@95prec
2352,0.22363945578231292,0.055133079847908745,0.012329931972789115,0.8016223653077752,1.2474701845626022,random,cheap,tree,selective@95prec
2352,0.3864795918367347,0.04950495049504951,0.01913265306122449,0.6555542221087857,1.5254268316405648,random,cheap,rforest,selective@95prec
2352,0.39880952380952384,0.04904051172707889,0.0195578231292517,0.6454572749148996,1.5492892231044189,random,cheap,gboost,selective@95prec
2352,0.1377551020408163,0.04938271604938271,0.006802721088435374,0.8768228505967299,1.1404812264181308,random,cheap,mlp,selective@95prec
2352,0.4166666666666667,0.05,0.020833333333333332,0.6296445504881459,1.5881976572730245,random,all,logreg,selective@95prec
2352,0.4413265306122449,0.051059730250481696,0.022534013605442178,0.6096306254600747,1.6403375392194612,random,all,tree,selective@95prec
2352,0.47278911564625853,0.04946043165467626,0.0233843537414966,0.581940299453063,1.718389327805362,random,all,rforest,selective@95prec
2352,0.4710884353741497,0.04963898916967509,0.0233843537414966,0.5831967794282303,1.7146871095214313,random,all,gboost,selective@95prec
2352,0.40688775510204084,0.04911180773249739,0.019982993197278913,0.6380949813675302,1.567164809628897,random,all,mlp,selective@95prec
2352,0.26445578231292516,0.04983922829581994,0.013180272108843538,0.7641455748381558,1.308651169264178,random,cheap_id,logreg,selective@95prec
2352,0.2261904761904762,0.05451127819548872,0.012329931972789115,0.7995677023266713,1.2506758303144168,random,cheap_id,tree,selective@95prec
2352,0.3924319727891156,0.04983748645720477,0.0195578231292517,0.6504514959776184,1.5373936506933783,random,cheap_id,rforest,selective@95prec
2352,0.4013605442176871,0.04978813559322034,0.019982993197278913,0.6432057284064544,1.5547125217269213,random,cheap_id,gboost,selective@95prec
2352,0.2593537414965986,0.04918032786885246,0.012755102040816327,0.7685750239469373,1.3011091550498268,random,cheap_id,mlp,selective@95prec
